# This is normalization information calculated 2023-07-03 at time 14-38-06
# Done with git-revision: e1694194999e3a9ae47e5b240a5dc630110c34eb
# Data files used to calculate normalization information:
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.02s/Recordings/Train/Experiment-1.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.02s/Recordings/Train/Experiment-2.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.02s/Recordings/Train/Experiment-3.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.02s/Recordings/Train/Experiment-4.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.02s/Recordings/Train/Experiment-5.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.02s/Recordings/Train/Experiment-6.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.02s/Recordings/Train/Experiment-7.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.02s/Recordings/Train/Experiment.csv
#
# Original (calculated from data) Normalization Information:
#,         ,      ,         ,L,         ,Q_applied,         ,Q_calculated,         ,Q_update_time,         ,angle,         ,angleD,         ,angleDD,         ,angle_cos,         ,angle_sin,         ,position,         ,positionD,         ,positionDD,         ,target_equilibrium,         ,target_position,         ,u,         
#,           ,mean,           ,0.04461,           ,-1e-05,           ,-1e-05,           ,0.03391,           ,0.00709,           ,-0.00053,           ,0.00309,           ,-0.47576,           ,0.00018,           ,-0.00022,           ,-1e-05,           ,-6e-05,           ,0.0,           ,-0.00159,           ,-4e-05,           
#,           ,std,           ,0.07241,           ,0.43524,           ,0.43524,           ,0.00367,           ,2.62077,           ,6.5475,           ,127.17427,           ,0.82659,           ,0.30068,           ,0.05909,           ,0.17595,           ,2.87943,           ,1.0,           ,0.08823,           ,1.14032,           
#,           ,max,           ,0.6,           ,1.0,           ,1.0,           ,0.12756,           ,3.14159,           ,39.6578,           ,922.9675,           ,1.0,           ,1.0,           ,0.17798,           ,0.86501,           ,18.47017,           ,1.0,           ,0.1584,           ,2.62,           
#,           ,min,           ,0.01,           ,-1.0,           ,-1.0,           ,0.02209,           ,-3.14159,           ,-40.03942,           ,-1000.95795,           ,-1.0,           ,-1.0,           ,-0.17812,           ,-0.85805,           ,-18.61983,           ,-1.0,           ,-0.1584,           ,-2.62,           
#
# Does user modified normalization info calculated from data?: Yes
#
# Normalization Information:
,D_angle,D_angleD,D_angle_cos,D_angle_sin,D_position,D_positionD,L,Q,Q_applied,Q_calculated,Q_update_time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,target_equilibrium,target_position,u
mean,0.0,0.0,0.0,0.0,0.0,0.0,0.04461,0.0,-1e-05,-1e-05,0.03391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std,,,,,,,0.07241,,0.43524,0.43524,0.00367,2.62077,6.5475,127.17427,0.82659,0.30068,0.05909,0.17595,2.87943,1.0,0.08823,1.14032
max,,,,,,,0.6,1.0,1.0,1.0,0.12756,3.14159,40.03942,1000.95795,1.0,1.0,0.198,0.86501,18.61983,1.0,0.198,2.62
min,,,,,,,0.01,-1.0,-1.0,-1.0,0.02209,-3.14159,-40.03942,-1000.95795,-1.0,-1.0,-0.198,-0.86501,-18.61983,-1.0,-0.198,-2.62
