epoch;loss;lr;val_loss
0;1.2145873308181763;0.01;1.7809875011444092
1;1.2029861211776733;0.01;1.523280143737793
2;1.2720303535461426;0.01;1.766574501991272
3;1.2967870235443115;0.0031599998;1.7862274646759033
4;1.257788062095642;0.00099856;1.7794824838638306
5;1.2488833665847778;0.00031554495;1.7490952014923096
6;1.2435362339019775;9.9712204e-05;1.7734215259552002
7;1.2413389682769775;3.150906e-05;1.7734185457229614
8;1.2408599853515625;1e-05;1.7716113328933716
9;1.2405136823654175;1e-05;1.773691177368164
