# This is normalization information calculated 2023-07-03 at time 14-36-38
# Done with git-revision: e1694194999e3a9ae47e5b240a5dc630110c34eb
# Data files used to calculate normalization information:
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-1.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-2.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-3.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-4.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-5.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-6.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-7.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment.csv
#
# Original (calculated from data) Normalization Information:
#,         ,      ,         ,L,         ,Q_applied,         ,Q_calculated,         ,Q_update_time,         ,angle,         ,angleD,         ,angleDD,         ,angle_cos,         ,angle_sin,         ,position,         ,positionD,         ,positionDD,         ,target_equilibrium,         ,target_position,         ,u,         
#,           ,mean,           ,0.05034,           ,-0.00054,           ,-0.00054,           ,0.00691,           ,0.04749,           ,0.00212,           ,0.32946,           ,-0.72129,           ,0.00027,           ,-0.00345,           ,-2e-05,           ,-0.00524,           ,0.00111,           ,-0.00159,           ,-0.0014,           
#,           ,std,           ,0.08226,           ,0.62569,           ,0.62569,           ,0.00348,           ,2.78064,           ,8.23227,           ,322.44986,           ,0.60577,           ,0.33584,           ,0.07779,           ,0.16685,           ,6.34725,           ,1.0,           ,0.08823,           ,1.63932,           
#,           ,max,           ,0.6,           ,1.0,           ,1.0,           ,0.05544,           ,3.14159,           ,80.7363,           ,4683.467,           ,1.0,           ,1.0,           ,0.19936,           ,0.86895,           ,26.81791,           ,1.0,           ,0.1584,           ,2.62,           
#,           ,min,           ,0.01,           ,-1.0,           ,-1.0,           ,0.00301,           ,-3.14159,           ,-104.90965,           ,-3424.6787,           ,-1.0,           ,-1.0,           ,-0.20611,           ,-0.87843,           ,-31.5117,           ,-1.0,           ,-0.1584,           ,-2.62,           
#
# Does user modified normalization info calculated from data?: Yes
#
# Normalization Information:
,D_angle,D_angleD,D_angle_cos,D_angle_sin,D_position,D_positionD,L,Q,Q_applied,Q_calculated,Q_update_time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,target_equilibrium,target_position,u
mean,0.0,0.0,0.0,0.0,0.0,0.0,0.05034,0.0,-0.00054,-0.00054,0.00691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00111,0.0,0.0
std,,,,,,,0.08226,,0.62569,0.62569,0.00348,2.78064,8.23227,322.44986,0.60577,0.33584,0.07779,0.16685,6.34725,1.0,0.08823,1.63932
max,,,,,,,0.6,1.0,1.0,1.0,0.05544,3.14159,104.90965,4683.467,1.0,1.0,0.198,0.87843,31.5117,1.0,0.198,2.62
min,,,,,,,0.01,-1.0,-1.0,-1.0,0.00301,-3.14159,-104.90965,-4683.467,-1.0,-1.0,-0.198,-0.87843,-31.5117,-1.0,-0.198,-2.62
