epoch;loss;lr;val_loss
0;1.0415263175964355;0.01;1.0365864038467407
1;1.0409362316131592;0.01;1.038512110710144
2;1.037416696548462;0.0031599998;1.0371952056884766
3;1.036657452583313;0.00099856;1.036352515220642
4;1.0366652011871338;0.00099856;1.0361285209655762
5;1.0366559028625488;0.00099856;1.0360825061798096
6;1.036456823348999;0.00031554495;1.0361815690994263
7;1.0363965034484863;9.9712204e-05;1.036080002784729
8;1.0363733768463135;3.150906e-05;1.0361112356185913
9;1.0363614559173584;1e-05;1.0361135005950928
