# This is normalization information calculated 2023-07-12 at time 20-03-06
# Done with git-revision: 95eceec690b9a11b8ee79746cf864254214e3536
# Data files used to calculate normalization information:
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-1.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-2.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-3.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-4.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-5.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-6.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment-7.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_0.1s/Recordings/Train/Experiment.csv
#
# Original (calculated from data) Normalization Information:
#,         ,      ,         ,L,         ,Q_applied,         ,Q_applied_-1,         ,Q_calculated,         ,Q_update_time,         ,angle,         ,angleD,         ,angleDD,         ,angleDD_-1,         ,angleD_-1,         ,angle_-1,         ,angle_cos,         ,angle_cos_-1,         ,angle_sin,         ,angle_sin_-1,         ,position,         ,positionD,         ,positionDD,         ,positionDD_-1,         ,positionD_-1,         ,position_-1,         ,target_equilibrium,         ,target_position,         ,u,         
#,           ,mean,           ,0.30002,           ,-0.0,           ,-0.0,           ,-0.0,           ,0.09009,           ,0.00065,           ,0.00029,           ,-7e-05,           ,-2e-05,           ,0.00029,           ,0.00066,           ,-0.99873,           ,-0.99873,           ,1e-05,           ,1e-05,           ,4e-05,           ,-0.0,           ,1e-05,           ,0.0,           ,-0.0,           ,4e-05,           ,-0.00222,           ,-0.00159,           ,-1e-05,           
#,           ,std,           ,0.03953,           ,0.03471,           ,0.03471,           ,0.03471,           ,0.15213,           ,3.12752,           ,0.11351,           ,0.63558,           ,0.63934,           ,0.11351,           ,3.12751,           ,0.04641,           ,0.04642,           ,0.01972,           ,0.0198,           ,0.05038,           ,0.01858,           ,0.11269,           ,0.1127,           ,0.01858,           ,0.05038,           ,1.0,           ,0.08823,           ,0.09095,           
#,           ,max,           ,0.48252,           ,1.0,           ,1.0,           ,1.0,           ,102.41003,           ,3.14159,           ,11.94744,           ,46.77294,           ,46.77294,           ,11.94744,           ,3.14159,           ,1.0,           ,1.0,           ,0.99989,           ,0.99989,           ,0.17652,           ,0.65913,           ,15.85525,           ,15.85525,           ,0.65913,           ,0.17652,           ,1.0,           ,0.1584,           ,2.62,           
#,           ,min,           ,0.16893,           ,-1.0,           ,-1.0,           ,-1.0,           ,0.05537,           ,-3.14159,           ,-10.57677,           ,-50.71978,           ,-50.71978,           ,-10.57677,           ,-3.14159,           ,-1.0,           ,-1.0,           ,-0.99979,           ,-0.99979,           ,-0.17145,           ,-0.82289,           ,-9.16394,           ,-9.16394,           ,-0.82289,           ,-0.17145,           ,-1.0,           ,-0.1584,           ,-2.62,           
#
# Does user modified normalization info calculated from data?: Yes
#
# Normalization Information:
,D_angle,D_angleD,D_angle_cos,D_angle_sin,D_position,D_positionD,L,Q,Q_applied,Q_applied_-1,Q_calculated,Q_update_time,angle,angleD,angleDD,angleDD_-1,angleD_-1,angle_-1,angle_cos,angle_cos_-1,angle_sin,angle_sin_-1,position,positionD,positionDD,positionDD_-1,positionD_-1,position_-1,target_equilibrium,target_position,u
mean,0.0,0.0,0.0,0.0,0.0,0.0,0.30002,0.0,-0.0,-0.0,-0.0,0.09009,0.0,0.0,0.0,-2e-05,0.00029,0.00066,0.0,-0.99873,0.0,1e-05,0.0,0.0,0.0,0.0,-0.0,4e-05,-0.00222,0.0,0.0
std,,,,,,,0.03953,,0.03471,0.03471,0.03471,0.15213,3.12752,0.11351,0.63558,0.63934,0.11351,3.12751,0.04641,0.04642,0.01972,0.0198,0.05038,0.01858,0.11269,0.1127,0.01858,0.05038,1.0,0.08823,0.09095
max,,,,,,,0.48252,1.0,1.0,1.0,1.0,102.41003,3.14159,11.94744,50.71978,46.77294,11.94744,3.14159,1.0,1.0,1.0,0.99989,0.198,0.82289,15.85525,15.85525,0.65913,0.17652,1.0,0.198,2.62
min,,,,,,,0.16893,-1.0,-1.0,-1.0,-1.0,0.05537,-3.14159,-11.94744,-50.71978,-50.71978,-10.57677,-3.14159,-1.0,-1.0,-1.0,-0.99979,-0.198,-0.82289,-15.85525,-9.16394,-0.82289,-0.17145,-1.0,-0.198,-2.62
