epoch;loss;lr;val_loss
0;0.8667619824409485;0.01;0.6311098337173462
1;0.7514512538909912;0.01;0.6456509232521057
2;0.6170406341552734;0.0031599998;0.4937925934791565
3;0.5348811149597168;0.0031599998;0.4350290298461914
4;0.47941261529922485;0.0031599998;0.4132688343524933
5;0.4675014913082123;0.0031599998;0.4056788384914398
6;0.43768593668937683;0.0031599998;0.3768359124660492
7;0.41881901025772095;0.0031599998;0.328734427690506
8;0.40376701951026917;0.0031599998;0.3753494620323181
9;0.34122809767723083;0.00099856;0.30537453293800354
