epoch;loss;lr;val_loss
0;0.6664597988128662;0.01;0.777201771736145
1;0.5070086121559143;0.01;0.6105489730834961
2;0.723280668258667;0.01;0.8094870448112488
3;0.7132682800292969;0.0031599998;0.7389163374900818
4;0.655456006526947;0.00099856;0.6478294134140015
5;0.6030992865562439;0.00031554495;0.616129994392395
6;0.5919658541679382;9.9712204e-05;0.610191822052002
7;0.586936891078949;9.9712204e-05;0.6047347187995911
8;0.5842733979225159;9.9712204e-05;0.6041373014450073
9;0.581165075302124;9.9712204e-05;0.5978285074234009
