epoch;loss;lr;val_loss
0;0.4960269033908844;0.01;0.6916632652282715
1;0.19816707074642181;0.01;0.5869454741477966
2;0.27633780241012573;0.01;0.4502735733985901
3;0.18148477375507355;0.01;0.17849913239479065
4;0.08332559466362;0.01;0.18772464990615845
5;0.029681172221899033;0.0031599998;0.08403857797384262
6;0.021607430651783943;0.0031599998;0.06676679104566574
7;0.019434113055467606;0.0031599998;0.055135589092969894
8;0.017146119847893715;0.0031599998;0.08192848414182663
9;0.00973561778664589;0.00099856;0.042483583092689514
