epoch;loss;lr;val_loss
0;0.5363872647285461;0.01;0.7539355158805847
1;0.24268008768558502;0.01;0.5620779991149902
2;0.19681204855442047;0.01;0.4874178171157837
3;0.17685429751873016;0.01;0.542978823184967
4;0.10613394528627396;0.0031599998;0.330070436000824
5;0.10219615697860718;0.0031599998;0.2930799424648285
6;0.10024465620517731;0.0031599998;0.27426838874816895
7;0.09851579368114471;0.0031599998;0.3141212463378906
8;0.08043929934501648;0.00099856;0.20698149502277374
9;0.07878656685352325;0.00099856;0.2150741070508957
