epoch;loss;lr;val_loss
0;1.9241790771484375;0.01;1.7529650926589966
1;1.9241302013397217;0.01;1.7829687595367432
2;1.5855884552001953;0.0031599998;0.3687789738178253
3;0.19229407608509064;0.0031599998;0.08947200328111649
4;0.12995129823684692;0.0031599998;0.07556844502687454
5;0.10949242115020752;0.0031599998;0.06696158647537231
6;0.09799881279468536;0.0031599998;0.18223001062870026
7;0.04793161153793335;0.00099856;0.033298756927251816
8;0.0440840907394886;0.00099856;0.042841218411922455
9;0.03116907738149166;0.00031554495;0.02577015943825245
