epoch;loss;lr;val_loss
0;0.5501354336738586;0.01;0.7831149101257324
1;0.2427014261484146;0.01;0.6263682246208191
2;0.20159152150154114;0.01;0.5160707235336304
3;0.18202193081378937;0.01;0.4979213774204254
4;0.17222435772418976;0.01;0.7073716521263123
5;0.10413861274719238;0.0031599998;0.28276440501213074
6;0.09929655492305756;0.0031599998;0.5211164355278015
7;0.07881870120763779;0.00099856;0.23455633223056793
8;0.07699057459831238;0.00099856;0.1936582326889038
9;0.07572995871305466;0.00099856;0.21120929718017578
