epoch;loss;lr;val_loss
0;1.095016598701477;0.01;1.0863397121429443
1;1.094160795211792;0.01;1.0898692607879639
2;1.0864568948745728;0.0031599998;1.0862932205200195
3;1.0847220420837402;0.00099856;1.086467981338501
4;1.0842580795288086;0.00031554495;1.086479663848877
5;1.0841203927993774;9.9712204e-05;1.0867819786071777
6;1.0840517282485962;3.150906e-05;1.0867679119110107
7;1.0840271711349487;1e-05;1.086423635482788
8;1.084035038948059;1e-05;1.086740255355835
9;1.084031105041504;1e-05;1.0865373611450195
