epoch;loss;lr;val_loss
0;0.4863111674785614;0.01;0.3510372042655945
1;0.3153970241546631;0.01;0.26550713181495667
2;0.24425984919071198;0.01;0.23203730583190918
3;0.20429781079292297;0.01;0.18078899383544922
4;0.1844625622034073;0.01;0.1748204380273819
5;0.16924814879894257;0.01;0.18359793722629547
6;0.11062037944793701;0.0031599998;0.10093546658754349
7;0.10445403307676315;0.0031599998;0.09793530404567719
8;0.100441113114357;0.0031599998;0.09338721632957458
9;0.09659728407859802;0.0031599998;0.09189372509717941
