epoch;loss;lr;val_loss
0;0.9360957145690918;0.01;1.9711449146270752
1;0.25163066387176514;0.01;0.6525816917419434
2;0.3357584476470947;0.01;0.47653359174728394
3;0.1469528079032898;0.01;2.3765790462493896
4;0.0664900690317154;0.0031599998;0.10332569479942322
5;0.0957847386598587;0.0031599998;0.24974888563156128
6;0.029161937534809113;0.00099856;0.07156509906053543
7;0.018696436658501625;0.00099856;0.05818624421954155
8;0.018021536991000175;0.00099856;0.05202595889568329
9;0.015588430687785149;0.00099856;0.056077901273965836
