# This is normalization information calculated 2023-07-03 at time 14-33-10
# Done with git-revision: e1694194999e3a9ae47e5b240a5dc630110c34eb
# Data files used to calculate normalization information:
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-1.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-2.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-3.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-4.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-5.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-6.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-7.csv
#     ./SI_Toolkit_ASF/Experiments/10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment.csv
#
# Original (calculated from data) Normalization Information:
#,         ,      ,         ,L,         ,Q_applied,         ,Q_calculated,         ,Q_update_time,         ,angle,         ,angleD,         ,angleDD,         ,angle_cos,         ,angle_sin,         ,position,         ,positionD,         ,positionDD,         ,target_equilibrium,         ,target_position,         ,u,         
#,           ,mean,           ,0.08823,           ,-1e-05,           ,-1e-05,           ,0.05214,           ,0.00145,           ,0.00035,           ,-0.00117,           ,-0.58637,           ,-4e-05,           ,-0.00012,           ,-0.0,           ,1e-05,           ,-0.00111,           ,-0.00159,           ,-2e-05,           
#,           ,std,           ,0.11261,           ,0.31414,           ,0.31414,           ,0.01096,           ,2.7577,           ,5.73353,           ,92.22112,           ,0.77433,           ,0.23787,           ,0.05618,           ,0.12916,           ,2.15044,           ,1.0,           ,0.08823,           ,0.82304,           
#,           ,max,           ,0.6,           ,1.0,           ,1.0,           ,0.18699,           ,3.14159,           ,38.4052,           ,681.8599,           ,1.0,           ,1.0,           ,0.17758,           ,0.76595,           ,18.47891,           ,1.0,           ,0.1584,           ,2.62,           
#,           ,min,           ,0.01,           ,-1.0,           ,-1.0,           ,0.03187,           ,-3.14159,           ,-38.43809,           ,-687.4216,           ,-1.0,           ,-1.0,           ,-0.178,           ,-0.80371,           ,-19.03744,           ,-1.0,           ,-0.1584,           ,-2.62,           
#
# Does user modified normalization info calculated from data?: Yes
#
# Normalization Information:
,D_angle,D_angleD,D_angle_cos,D_angle_sin,D_position,D_positionD,L,Q,Q_applied,Q_calculated,Q_update_time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,target_equilibrium,target_position,u
mean,0.0,0.0,0.0,0.0,0.0,0.0,0.08823,0.0,-1e-05,-1e-05,0.05214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00111,0.0,0.0
std,,,,,,,0.11261,,0.31414,0.31414,0.01096,2.7577,5.73353,92.22112,0.77433,0.23787,0.05618,0.12916,2.15044,1.0,0.08823,0.82304
max,,,,,,,0.6,1.0,1.0,1.0,0.18699,3.14159,38.43809,687.4216,1.0,1.0,0.198,0.80371,19.03744,1.0,0.198,2.62
min,,,,,,,0.01,-1.0,-1.0,-1.0,0.03187,-3.14159,-38.43809,-687.4216,-1.0,-1.0,-0.198,-0.80371,-19.03744,-1.0,-0.198,-2.62
