epoch;loss;lr;val_loss
0;0.3865557312965393;0.01;0.29155194759368896
1;0.30387014150619507;0.01;0.5248594284057617
2;0.06886285543441772;0.0031599998;0.20247358083724976
3;0.12645076215267181;0.0031599998;0.2253752499818802
4;0.03960166499018669;0.00099856;0.12632781267166138
5;0.029295360669493675;0.00099856;0.08981907367706299
6;0.027682876214385033;0.00099856;0.07894832640886307
7;0.022718233987689018;0.00099856;0.09032014012336731
8;0.016301902011036873;0.00031554495;0.04708527401089668
9;0.015252926386892796;0.00031554495;0.04944911226630211
