epoch;loss;lr;val_loss
0;1.135059118270874;0.01;3.219346046447754
1;0.7350375056266785;0.01;2.607311725616455
2;0.59763103723526;0.01;1.9009530544281006
3;0.529094398021698;0.01;2.7592034339904785
4;0.2964248061180115;0.0031599998;1.4760328531265259
5;0.2872268557548523;0.0031599998;1.0558505058288574
6;0.27876901626586914;0.0031599998;1.3024232387542725
7;0.2078906148672104;0.00099856;0.751642107963562
8;0.20167653262615204;0.00099856;0.722202718257904
9;0.19743941724300385;0.00099856;0.6745339035987854
