epoch;loss;lr;val_loss
0;0.6811102032661438;0.01;0.6599802374839783
1;0.5889202356338501;0.01;0.635201096534729
2;0.5685684084892273;0.01;0.6100041270256042
3;0.5194788575172424;0.01;0.5076937079429626
4;0.4612799286842346;0.01;0.45966818928718567
5;0.4221382737159729;0.01;0.4797217547893524
6;0.3170928955078125;0.0031599998;0.32075536251068115
7;0.29506775736808777;0.0031599998;0.3041541576385498
8;0.28685981035232544;0.0031599998;0.2997896075248718
9;0.2783489525318146;0.0031599998;0.29381465911865234
