# This is normalization information calculated 2023-07-12 at time 20-02-33
# Done with git-revision: 95eceec690b9a11b8ee79746cf864254214e3536
# Data files used to calculate normalization information:
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-1.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-2.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-3.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-4.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-5.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-6.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment-7.csv
#     ./SI_Toolkit_ASF/Experiments/random_walk_new/shifited_10%_randomwalk_on_L_every_2s/Recordings/Train/Experiment.csv
#
# Original (calculated from data) Normalization Information:
#,         ,      ,         ,L,         ,Q_applied,         ,Q_applied_-1,         ,Q_calculated,         ,Q_update_time,         ,angle,         ,angleD,         ,angleDD,         ,angleDD_-1,         ,angleD_-1,         ,angle_-1,         ,angle_cos,         ,angle_cos_-1,         ,angle_sin,         ,angle_sin_-1,         ,position,         ,positionD,         ,positionDD,         ,positionDD_-1,         ,positionD_-1,         ,position_-1,         ,target_equilibrium,         ,target_position,         ,u,         
#,           ,mean,           ,0.30215,           ,-0.0,           ,-0.0,           ,-0.0,           ,0.0916,           ,0.00201,           ,0.00073,           ,-1e-04,           ,-4e-05,           ,0.00073,           ,0.00202,           ,-0.99456,           ,-0.99456,           ,1e-05,           ,2e-05,           ,0.00174,           ,-0.0,           ,1e-05,           ,1e-05,           ,-0.0,           ,0.00174,           ,0.00111,           ,-0.00159,           ,-0.0,           
#,           ,std,           ,0.03996,           ,0.04097,           ,0.04097,           ,0.04097,           ,0.15421,           ,3.12436,           ,0.17682,           ,0.92416,           ,0.92675,           ,0.17682,           ,3.12435,           ,0.10095,           ,0.10096,           ,0.02564,           ,0.0257,           ,0.05081,           ,0.02149,           ,0.15464,           ,0.15465,           ,0.02149,           ,0.05081,           ,1.0,           ,0.08823,           ,0.10734,           
#,           ,max,           ,0.44413,           ,1.0,           ,1.0,           ,1.0,           ,102.41222,           ,3.14159,           ,14.00983,           ,62.98665,           ,62.98665,           ,14.00983,           ,3.14159,           ,1.0,           ,1.0,           ,0.99998,           ,0.99998,           ,0.17756,           ,0.64961,           ,15.6205,           ,15.6205,           ,0.64961,           ,0.17756,           ,1.0,           ,0.1584,           ,2.62,           
#,           ,min,           ,0.18504,           ,-1.0,           ,-1.0,           ,-1.0,           ,0.05991,           ,-3.14159,           ,-12.19405,           ,-58.78391,           ,-58.78391,           ,-12.19405,           ,-3.14159,           ,-1.0,           ,-1.0,           ,-1.0,           ,-1.0,           ,-0.17474,           ,-0.8386,           ,-13.55193,           ,-13.55193,           ,-0.8386,           ,-0.17474,           ,-1.0,           ,-0.1584,           ,-2.62,           
#
# Does user modified normalization info calculated from data?: Yes
#
# Normalization Information:
,D_angle,D_angleD,D_angle_cos,D_angle_sin,D_position,D_positionD,L,Q,Q_applied,Q_applied_-1,Q_calculated,Q_update_time,angle,angleD,angleDD,angleDD_-1,angleD_-1,angle_-1,angle_cos,angle_cos_-1,angle_sin,angle_sin_-1,position,positionD,positionDD,positionDD_-1,positionD_-1,position_-1,target_equilibrium,target_position,u
mean,0.0,0.0,0.0,0.0,0.0,0.0,0.30215,0.0,-0.0,-0.0,-0.0,0.0916,0.0,0.0,0.0,-4e-05,0.00073,0.00202,0.0,-0.99456,0.0,2e-05,0.0,0.0,0.0,1e-05,-0.0,0.00174,0.00111,0.0,0.0
std,,,,,,,0.03996,,0.04097,0.04097,0.04097,0.15421,3.12436,0.17682,0.92416,0.92675,0.17682,3.12435,0.10095,0.10096,0.02564,0.0257,0.05081,0.02149,0.15464,0.15465,0.02149,0.05081,1.0,0.08823,0.10734
max,,,,,,,0.44413,1.0,1.0,1.0,1.0,102.41222,3.14159,14.00983,62.98665,62.98665,14.00983,3.14159,1.0,1.0,1.0,0.99998,0.198,0.8386,15.6205,15.6205,0.64961,0.17756,1.0,0.198,2.62
min,,,,,,,0.18504,-1.0,-1.0,-1.0,-1.0,0.05991,-3.14159,-14.00983,-62.98665,-58.78391,-12.19405,-3.14159,-1.0,-1.0,-1.0,-1.0,-0.198,-0.8386,-15.6205,-13.55193,-0.8386,-0.17474,-1.0,-0.198,-2.62
