epoch;loss;lr;val_loss
0;1.482599139213562;0.01;1.4834564924240112
1;1.4817225933074951;0.01;1.4714053869247437
2;1.4819152355194092;0.01;1.4716567993164062
3;1.4675729274749756;0.0031599998;1.4665467739105225
4;1.4675711393356323;0.0031599998;1.462247610092163
5;1.4675630331039429;0.0031599998;1.4653277397155762
6;1.4640907049179077;0.00099856;1.4659796953201294
7;1.4620568752288818;0.00031554495;1.4618618488311768
8;1.4620040655136108;0.00031554495;1.460646629333496
9;1.4619991779327393;0.00031554495;1.464992880821228
