epoch;loss;lr;val_loss
0;0.8125138878822327;0.01;0.7215182185173035
1;0.6545805931091309;0.01;0.7181069850921631
2;0.6099995970726013;0.01;0.621708869934082
3;0.5730612874031067;0.01;0.5868659019470215
4;0.5204344987869263;0.01;0.48481106758117676
5;0.4769745469093323;0.01;0.4453183114528656
6;0.4446515738964081;0.01;0.8536826968193054
7;0.35594093799591064;0.0031599998;0.3504141569137573
8;0.34669366478919983;0.0031599998;0.3401627540588379
9;0.34011876583099365;0.0031599998;0.33689001202583313
